;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
Comunitat Valenciana;4963703;23259,14;213,41;23,37;2,59;0,43;119,39;53,95;5003769;23261,98;215,1;23,05;2,41;0,38;121,82;54,03;5057353;23263,9;217,39;22,73;2,24;1,57;124,58;53,83;5058138;23263,43;217,43;20,36;1,91;2,53;128,89;53,78;5097967;23264,49;219,13;17,83;1,52;3,19;133,23;53,76
 Província d'Alacant;1838819;5816,48;316,14;32,39;3,09;1,2;123,21;54,81;1858683;5816,48;319,55;31,73;2,86;1,49;125,66;54,83;1879888;5816,44;323,2;30,08;2,65;2,66;128,08;54,64;1881762;5816,44;323,52;26,27;2,29;3,37;132,39;54,59;1901594;5817,5;326,87;22,06;1,86;3,72;137,89;54,85
  El Comtat;28085;377,81;74,34;9,06;-4,21;2,5;150,68;56,03;28096;377,81;74,37;8,84;-4,39;2,1;154,75;56,13;28047;377,81;74,24;8,68;-4,34;2,19;157,62;56,36;28112;377,81;74,41;8,42;-4,36;2,37;159,66;57,03;28020;377,81;74,16;7,47;-4,66;2,3;161,93;57,4
  L'Alcoià;108821;539,67;201,64;4,18;0,39;-0,56;130,62;54,68;109193;539,67;202,33;4,39;0,15;-0,45;133,66;54,71;110104;539,67;204,02;5,04;-0,03;0,74;137,13;54,78;110283;539,67;204,35;4,79;-0,48;1,89;141,13;54,8;110639;539,66;205,02;4,04;-0,98;2,63;145,37;54,44
  L'Alt Vinalopó / Alto Vinalopó;52335;644,76;81,17;8,82;1,13;-3,04;111,68;52,76;52401;644,76;81,27;8,42;0,75;-3,05;114,38;53,04;52604;644,77;81,59;8,49;0,48;-2,08;118,05;53,18;52557;644,77;81,51;7,54;0,15;-1,47;121,57;53,63;52576;644,77;81,54;5,41;-0,25;-0,93;125,8;54,18
  El Vinalopó Mitjà / El Vinalopó Medio;168432;797,66;211,16;13,51;2,98;-1,74;117,04;52,69;169069;797,66;211,96;13,95;2,62;-1,91;120,44;53,14;169848;797,68;212,93;13,48;2,36;-1,14;124,24;53,26;169898;797,68;212,99;12,15;1,89;-0,03;127,68;53,55;170049;797,68;213,18;9,37;1,42;0,66;132,39;53,74
  La Marina Alta;171826;758,06;226,67;32,58;-1,98;3,04;169,6;61,54;175156;758,06;231,06;31,25;-2,18;3,75;170,44;60,93;178203;758,06;235,08;28,74;-2,38;5,04;170,23;59,82;179651;758,06;236,99;23,81;-2,73;7,36;175,28;59,15;184284;758,06;243,1;19,33;-3,03;7,16;185,83;60,03
  La Marina Baixa;185054;578,67;319,79;51,04;1,54;4,22;134,73;52,39;188623;578,67;325,96;49,23;1,37;5,69;137,49;52,44;190968;578,67;330,01;45,49;1,26;6,98;138,96;52,07;190070;578,67;328,46;37,56;1;6,05;146,84;52,59;192624;578,68;332,87;31;0,67;4,53;155,7;53,83
  L'Alacantí;481885;673,57;715,42;30,69;4,28;3,07;110,44;52,36;487113;673,57;723,18;30,63;4,07;3,73;112,87;52,44;491772;673,57;730,1;29,7;3,87;4,97;115,35;52,39;491975;673,57;730,4;26,68;3,5;5,55;120,32;52,25;494685;674,62;733,28;22,71;3,07;6,12;124,79;52,14
  El Baix Vinalopó;291327;489,21;595,5;24,89;7,28;1,29;96,71;50,95;293775;489,21;600,51;24,57;7,06;1,93;99,34;51,09;297604;489,21;608,33;24,31;6,8;3,5;102,76;51,04;298070;489,21;609,29;22,66;6,49;5,05;107,54;51,21;301635;489,21;616,57;21,46;6,01;6,09;112,78;51,42
  El Baix Segura / La Vega Baja;351054;957,07;366,8;68,66;3,04;-1,43;139,79;61,18;355257;957,07;371,19;65,04;2,84;-2,48;141,54;61;360738;957;376,95;58,15;2,6;-1,52;143,02;60,63;361146;957;377,37;47,96;2,21;-1,56;144,55;60,1;367082;957;383,58;37,36;1,75;-1,12;148,58;60,21
 Província de Castelló;576898;6631,88;86,99;24,95;2,31;-3,15;117,21;54,34;579962;6634,73;87,41;23,95;2,2;-3,41;119,64;54,33;585590;6635,18;88,26;23,44;2,11;-2,4;122,49;54,2;587064;6634,78;88,48;21;1,85;-1,34;126,61;54,18;590616;6634,81;89,02;17,83;1,49;-0,34;129,73;54,15
  Els Ports;4404;904,06;4,87;-15,68;-22,07;-6,09;249,6;65,81;4400;904,06;4,87;-15,92;-21,84;-5,2;250,9;66,54;4357;904,06;4,82;-15,99;-21,05;-6,22;251,61;67,19;4373;904,34;4,84;-15,64;-21,04;-5,15;237,4;66,15;6648;997,9;6,66;-14,3;-17,67;-3,78;231,13;66,24
  L'Alt Maestrat;6745;663,15;10,17;-19,79;-21,04;-5,75;278;74,02;6657;663,15;10,04;-19,87;-20,94;-6,25;280,19;73,54;6622;663,15;9,99;-19,29;-20,85;-6,42;285,87;72,63;6668;662,86;10,06;-17,82;-20,49;-4,9;278,58;71,28;6299;845,48;7,45;-17,85;-24,29;-1,48;314,11;73,62
  El Baix Maestrat;81343;1221,32;66,6;30,54;0,6;-1,17;129,14;57,28;81871;1221,32;67,03;28,7;0,52;-1,23;131,64;57,25;82437;1221,45;67,49;27,06;0,49;-0,15;133,75;57,67;83143;1221,41;68,07;24,19;0,32;1,28;139,25;57,84;84062;1221,41;68,82;21,18;0,06;2,59;143,25;57,97
  L'Alcalatén;15626;648,66;24,09;6,1;-4,69;-6,66;158,86;56,93;15585;648,94;24,02;4,91;-4,91;-6,43;162,18;56,87;15613;648,94;24,06;4,57;-4,96;-4,43;162,25;57,1;15649;648,54;24,13;4,13;-5,46;-2,15;165,9;56,8;13908;391,18;35,55;4,52;-3,24;-1,62;157,05;54,52
