;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
Comunitat Valenciana;4963703;23259,14;213,41;23,37;2,59;0,43;119,39;53,95;5003769;23261,98;215,1;23,05;2,41;0,38;121,82;54,03;5057353;23263,9;217,39;22,73;2,24;1,57;124,58;53,83;5058138;23263,43;217,43;20,36;1,91;2,53;128,89;53,78;5097967;23264,49;219,13;17,83;1,52;3,19;133,23;53,76
 Província d'Alacant;1838819;5816,48;316,14;32,39;3,09;1,2;123,21;54,81;1858683;5816,48;319,55;31,73;2,86;1,49;125,66;54,83;1879888;5816,44;323,2;30,08;2,65;2,66;128,08;54,64;1881762;5816,44;323,52;26,27;2,29;3,37;132,39;54,59;1901594;5817,5;326,87;22,06;1,86;3,72;137,89;54,85
   03001 - Atzúbia, l';661;14,67;45,06;14,16;-12,1;25,11;652,38;91,59;632;14,67;43,08;13,26;-14,08;30,7;527,27;77,53;611;14,67;41,65;11,7;-13,91;31,59;480,43;77,62;609;14,67;41,51;6,84;-13,96;27,09;462,22;71,07;616;14,67;41,99;1,82;-14,29;27,92;420,83;68,31
   03002 - Agost;4713;66,64;70,73;17,15;1,17;0,76;126,43;54,47;4758;66,64;71,4;17,39;0,97;1,49;125,4;54,88;4794;66,64;71,94;17,07;1,11;2,11;132,14;54,1;4906;66,64;73,62;18,33;0,73;4,93;130,78;55,3;4948;66,64;74,25;15,5;-0,2;7,72;137,38;53,33
   03003 - Agres;551;25,84;21,33;-15,36;-16,33;-11,62;215,63;57,88;565;25,84;21,87;-12,94;-15,58;-6,9;210,29;59,6;564;25,84;21,83;-11,74;-15,43;-4,43;226,15;60,23;580;25,84;22,45;-8,23;-14,48;-0,17;210;59,78;589;25,84;22,8;-5,46;-13,92;2,89;211,59;57,49
   03004 - Aigües;936;18,47;50,67;67,74;-2,35;-7,59;160,16;55,22;963;18,47;52,13;66,32;-2,08;-7,68;164,8;52,37;986;18,47;53,38;69,71;-1,93;-3,55;159,23;51,93;1049;18,47;56,79;77,2;-1,33;-0,38;136,55;48,58;1085;18,47;58,73;73,88;-1,29;3,32;143,71;51,32
   03005 - Albatera;12042;61,54;195,67;41,32;10,38;-0,28;77,24;51,41;12279;61,54;199,52;41,77;10,15;1,12;77,83;51;12474;61,54;202,69;41,57;10;2,02;78,81;51,71;12714;61,54;206,59;40,02;9,93;3,53;79,23;52,3;12864;61,54;209,03;37,39;9,69;4,66;79,95;52,27
   03006 - Alcalalí;1298;14,4;90,15;58,68;-14,64;-6,01;549,02;104,09;1278;14,4;88,76;35,81;-14,63;-6,49;589,25;100,63;1302;14,4;90,43;32,72;-15,28;-3,76;578,72;96,08;1336;14,4;92,79;30,47;-15,04;4,27;612,09;94,19;1349;14,4;93,69;24,79;-14,46;5,04;598,92;92,99
   03007 - Alcosser;229;4,39;52,2;76,15;-7,42;7,86;256;63,57;230;4,39;52,43;86,99;-8,7;13,04;286,36;58,62;226;4,39;51,51;75,19;-9,29;11,06;352,94;51,68;243;4,39;55,39;76,09;-10,29;19,75;285;46,39;254;4,39;57,9;64,94;-9,06;20,87;203,85;45,14
   03008 - Alcoleja;180;14,56;12,36;-35,48;-35,56;4,44;521,43;93,55;173;14,56;11,88;-36,16;-37,57;4,62;492,86;92,22;177;14,56;12,16;-31,13;-35,03;8,47;460;90,32;181;14,56;12,43;-29,3;-33,15;9,94;400;88,54;196;14,56;13,46;-20;-28,06;13,78;260;84,91
   03009 - Alcoi / Alcoy;58977;129,86;454,16;-2,48;-1,95;-0,25;136,36;56,2;58994;129,86;454,29;-2,45;-2,22;-0,14;139,38;56,15;59354;129,86;457,06;-1,77;-2,29;1,01;142,97;56,13;59128;129,86;455,32;-1,92;-2,78;1,6;147,95;56,08;58960;129,86;454,03;-2,49;-3,39;2,45;153,15;55,75
   03010 - Alfafara;407;19,78;20,58;3,83;-5,9;1,72;195,92;55,34;410;19,78;20,73;5,67;-6,1;1,71;191,84;53,56;406;19,78;20,53;3,05;-7,88;-0,99;208,51;55,56;408;19,78;20,63;4,88;-8,09;-1,72;219,15;58,14;417;19,78;21,08;2,71;-7,43;0,96;223,91;55,6
   03011 - Alfàs del Pi, l';20053;19,26;1041,2;52,55;0,35;3,17;189,78;63,24;20482;19,26;1063,47;54,86;-0,05;5,93;200,07;64,49;20042;19,26;1040,63;41,75;-0,52;7,24;192,62;62,84;20495;19,26;1064,15;36,82;-0,48;4,21;201,72;62,52;20668;19,26;1073,13;30,41;-0,63;3,88;223,2;64,19
   03012 - Algorfa;2838;18,36;154,6;142,98;2,54;21,39;257,22;85,85;2935;18,47;158,9;140,57;1,16;2,79;253,17;83,44;3125;18,47;169,19;151,41;0,58;0,7;240,1;80,22;3396;18,47;183,86;125,35;-0,82;5,92;261,93;79,3;3513;18,47;190,19;121,08;-1,45;-11,98;293,48;80,8
   03013 - Algueña;1341;18,43;72,75;-6,09;-8,95;-11,71;193,44;66,79;1336;18,43;72,48;-8,43;-9,28;-11,23;190,16;65,96;1326;18,47;71,78;-8,36;-8,75;-11,39;178,76;68,27;1334;18,47;72,21;-8,25;-8,47;-8,17;176,14;68,86;1351;18,47;73,13;-7,72;-8,22;-7,11;181,35;67,2
   03014 - Alacant / Alicante;331577;201,27;1647,46;21,71;3,54;0,85;117,33;53,02;334887;201,27;1663,9;22,92;3,38;2,07;119,19;53,09;337482;201,27;1676,8;21,88;3,26;3,62;121,25;53,19;337304;201,27;1675,91;19,09;2,95;4,4;125,94;53,16;338577;202,32;1673,45;15,31;2,57;5;130,01;53,11
   03015 - Almoradí;20542;42,72;480,81;52,17;9,14;5,09;75,81;52,99;20803;42,69;487,26;52,9;9,36;3,59;77,46;53,58;21208;42,69;496,74;53,6;8,99;3,98;77,35;54,04;21404;42,69;501,34;52,94;8,64;6,91;78,32;53,86;21401;42,69;501,26;49,3;8,65;6,63;77,98;53,98
