Circunsc., RL,Comarca,PorcHablantes,DENSIDAD,Km de València,PorcVoto valencianista
ALACANT,r2,L'Alcoià,"73,2",540,110,"17,32"
ALACANT,r7,El Vinalopó Mitjà,"43,4",798,140,"7,56"
ALACANT,r1,L'Alacantí,"29,8","734,4",167,"8,81"
ALACANT,r1,El Baix Vinalopó,"43,4",617,174,"9,39"
ALACANT,r7,La Vega Baja,"3,4",383,203,"3,55"
CASTELLÓ,r5,La Plana Alta,65,273,74,"14,08"
CASTELLÓ,r5,L'Alt Maestrat,"95,6","7,45",124,"15,48"
CASTELLÓ,r6,El Alto Mijares,"7,4","5,96",84,"10,47"
VALÈNCIA,r3,Valencia,"43,3",3977,0,"16,73"
VALÈNCIA,r3,L'Horta Sud,"62,2",1531,12,"11,84"
VALÈNCIA,r6,La Hoya de Buñol,"13,7",55,32,"13,86"
VALÈNCIA,r4,La Ribera Baixa,88,"293,5",38,"26,95"
VALÈNCIA,r2,La Safor,87,408,57,"23,07"
VALÈNCIA,r4,La Costera,"86,2",136,62,"19,39"
