Circunsc.,Comarca,DENSIDAD
ALACANT,L'Alacantí,"734,4"
ALACANT,El Baix Vinalopó,617
ALACANT,La Marina Baixa,318
ALACANT,La Marina Alta,242
ALACANT,L'Alcoià,540
VALÈNCIA,La Safor,408
VALÈNCIA,La Vall d'Albaida,121
ALACANT,El Comtat,"74,44"
VALÈNCIA,Valencia,3977
VALÈNCIA,L'Horta Nord,1732
VALÈNCIA,L'Horta Sud,1531
VALÈNCIA,El Camp de Morvedre,350
VALÈNCIA,El Camp de Túria,209
VALÈNCIA,La Costera,136
VALÈNCIA,La Ribera Alta,"222,66"
VALÈNCIA,La Ribera Baixa,"293,5"
CASTELLÓ,La Plana Alta,273
CASTELLÓ,La Plana Baixa,320
CASTELLÓ,L'Alcalatén,"35,53"
CASTELLÓ,El Baix Maestrat,"67,5"
CASTELLÓ,Els Ports,"6,66"
CASTELLÓ,L'Alt Maestrat,"7,45"
VALÈNCIA,El Rincón de Ademuz,"5,91"
VALÈNCIA,La Plana de Utiel-Requena,"21,75"
VALÈNCIA,El Valle de Cofrentes-Ayora,"8,4"
CASTELLÓ,El Alto Mijares,"5,96"
VALÈNCIA,La Serrania,12
CASTELLÓ,El Alto Palancia,"25,48"
VALÈNCIA,La Hoya de Buñol,55
VALÈNCIA,La Canal de Navarrés,22
ALACANT,El Baix Segura/La Vega Baja,383
ALACANT,L'Alt Vinalopó/El Alto Vinalopó,"81,54"
ALACANT,El Vinalopó Mitjà,798
