Circunsc.,Comarca,KM
ALACANT,L'Alacantí,167
ALACANT,El Baix Vinalopó,174
ALACANT,La Marina Baixa,153
ALACANT,La Marina Alta,106
ALACANT,L'Alcoià,110
VALÈNCIA,La Safor,57
VALÈNCIA,La Vall d'Albaida,84
ALACANT,El Comtat,99
VALÈNCIA,Valencia,0
VALÈNCIA,L'Horta Nord,10
VALÈNCIA,L'Horta Sud,12
VALÈNCIA,El Camp de Morvedre,29
VALÈNCIA,El Camp de Túria,30
VALÈNCIA,La Costera,62
VALÈNCIA,La Ribera Alta,"44,8"
VALÈNCIA,La Ribera Baixa,38
CASTELLÓ,La Plana Alta,74
CASTELLÓ,La Plana Baixa,62
CASTELLÓ,L'Alcalatén,86
CASTELLÓ,El Baix Maestrat,151
CASTELLÓ,Els Ports,172
CASTELLÓ,L'Alt Maestrat,124
VALÈNCIA,El Rincón de Ademuz,153
VALÈNCIA,La Plana de Utiel-Requena,80
VALÈNCIA,El Valle de Cofrentes-Ayora,135
CASTELLÓ,El Alto Mijares,84
VALÈNCIA,La Serrania,70
CASTELLÓ,El Alto Palancia,58
VALÈNCIA,La Hoya de Buñol,32
VALÈNCIA,La Canal de Navarrés,72
ALACANT,El Baix Segura/La Vega Baja,203
ALACANT,L'Alt Vinalopó/El Alto Vinalopó,122
ALACANT,El Vinalopó Mitjà,140
