Circunsc.,Comarca,% VOTO
ALACANT,L'Alacantí,"8,81"
ALACANT,El Baix Vinalopó,"9,39"
ALACANT,La Marina Baixa,"11,97"
ALACANT,La Marina Alta,"22,94"
ALACANT,L'Alcoià,"17,32"
VALÈNCIA,La Safor,"23,07"
VALÈNCIA,La Vall d'Albaida,"25,77"
ALACANT,El Comtat,"24,78"
VALÈNCIA,Valencia,"16,73"
VALÈNCIA,L'Horta Nord,"8,15"
VALÈNCIA,L'Horta Sud,"11,84"
VALÈNCIA,El Camp de Morvedre,"15,57"
VALÈNCIA,El Camp de Túria,"16,26"
VALÈNCIA,La Costera,"19,39"
VALÈNCIA,La Ribera Alta,"21,47"
VALÈNCIA,La Ribera Baixa,"26,95"
CASTELLÓ,La Plana Alta,"14,08"
CASTELLÓ,La Plana Baixa,"13,62"
CASTELLÓ,L'Alcalatén,"13,18"
CASTELLÓ,El Baix Maestrat,"12,13"
CASTELLÓ,Els Ports,"14,05"
CASTELLÓ,L'Alt Maestrat,"15,48"
VALÈNCIA,El Rincón de Ademuz,"6,68"
VALÈNCIA,La Plana de Utiel-Requena,"6,09"
VALÈNCIA,El Valle de Cofrentes-Ayora,"8,15"
CASTELLÓ,El Alto Mijares,"10,47"
VALÈNCIA,La Serrania,"11,84"
CASTELLÓ,El Alto Palancia,"7,97"
VALÈNCIA,La Hoya de Buñol,"13,86"
VALÈNCIA,La Canal de Navarrés,"11,67"
ALACANT,El Baix Segura/La Vega Baja,"3,55"
ALACANT,L'Alt Vinalopó/El Alto Vinalopó,"10,3"
ALACANT,El Vinalopó Mitjà,"7,56"
